Date : 2024-06-09 17:47:47
Directory : /Users/hieu/Work/crea8r/phanuel
Total : 105 files,  27383 codes, 482 comments, 776 blanks, all 28641 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/hieu/Work/crea8r/phanuel/app/web/.eslintrc.cjs                                              | JavaScript         |         21 |          0 |          1 |         22 |
| /Users/hieu/Work/crea8r/phanuel/app/web/README.md                                                  | Markdown           |          5 |          0 |          4 |          9 |
| /Users/hieu/Work/crea8r/phanuel/app/web/index.html                                                 | HTML               |         13 |          0 |          1 |         14 |
| /Users/hieu/Work/crea8r/phanuel/app/web/package-lock.json                                          | JSON               |     15,686 |          0 |          1 |     15,687 |
| /Users/hieu/Work/crea8r/phanuel/app/web/package.json                                               | JSON               |         45 |          0 |          1 |         46 |
| /Users/hieu/Work/crea8r/phanuel/app/web/public/placeholder.svg                                     | XML                |          1 |          0 |          0 |          1 |
| /Users/hieu/Work/crea8r/phanuel/app/web/public/vite.svg                                            | XML                |          1 |          0 |          0 |          1 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/components/Loading.tsx                                 | TypeScript JSX     |         58 |          0 |          2 |         60 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/components/MembershipList.tsx                          | TypeScript JSX     |         60 |          0 |          3 |         63 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/components/ui.tsx                                      | TypeScript JSX     |        138 |          1 |         11 |        150 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/context/Profile.js                                     | JavaScript         |          3 |          0 |          3 |          6 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/config.ts                                        | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/sendTxn.ts                                       | TypeScript         |         38 |          5 |          2 |         45 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/shortenAddress.ts                                | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/v0Helper.ts                                      | TypeScript         |        154 |         16 |         16 |        186 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/icons/key.jsx                                          | JavaScript JSX     |         22 |          0 |          2 |         24 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/icons/upload.jsx                                       | JavaScript JSX     |         22 |          0 |          2 |         24 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/icons/wallet.jsx                                       | JavaScript JSX     |         21 |          0 |          2 |         23 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/idl.json                                               | JSON               |      1,000 |          0 |          0 |      1,000 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/index.css                                              | CSS                |         99 |          2 |         14 |        115 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/input.css                                              | CSS                |          3 |          0 |          1 |          4 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/layout/v0.tsx                                          | TypeScript JSX     |        106 |          9 |          5 |        120 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/main.tsx                                               | TypeScript JSX     |         38 |          2 |          3 |         43 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/output.css                                             | CSS                |        762 |        167 |        200 |      1,129 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/Admin.tsx                                        | TypeScript JSX     |        144 |          0 |          6 |        150 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/Intro.tsx                                        | TypeScript JSX     |         65 |          0 |          2 |         67 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/Wallet.tsx                                       | TypeScript JSX     |        315 |          3 |          3 |        321 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/AllMembers.tsx                         | TypeScript JSX     |        110 |          0 |          3 |        113 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/CreateToken.tsx                        | TypeScript JSX     |         93 |          0 |          3 |         96 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/ManageMember.tsx                       | TypeScript JSX     |        218 |          2 |          2 |        222 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/Mint.tsx                               | TypeScript JSX     |        190 |          0 |          3 |        193 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/ReceivedNotes.tsx                      | TypeScript JSX     |         71 |          0 |          4 |         75 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/SentNotes.tsx                          | TypeScript JSX     |         73 |          0 |          4 |         77 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/Stat.tsx                               | TypeScript JSX     |        144 |          7 |          7 |        158 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/_schemas.tsx                                  | TypeScript JSX     |         30 |          0 |          2 |         32 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/_types.tsx                                    | TypeScript JSX     |         33 |          0 |          5 |         38 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/addMember.tsx                                 | TypeScript JSX     |         59 |          0 |          3 |         62 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/addMultipleMember.tsx                         | TypeScript JSX     |        117 |          0 |          4 |        121 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/createCommunity.tsx                           | TypeScript JSX     |         45 |          0 |          4 |         49 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/disableMember.tsx                             | TypeScript JSX     |          8 |          1 |          3 |         12 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/fetchAllMemo.tsx                              | TypeScript JSX     |         49 |          0 |          3 |         52 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/listAllBagAccounts.tsx                        | TypeScript JSX     |         59 |          0 |          3 |         62 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/listCommunityAccounts.tsx                     | TypeScript JSX     |         44 |          0 |          3 |         47 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/listMembers.tsx                               | TypeScript JSX     |         48 |          0 |          3 |         51 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/listReceivedNotes.tsx                         | TypeScript JSX     |         57 |          0 |          3 |         60 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/listSentNotes.tsx                             | TypeScript JSX     |         57 |          0 |          3 |         60 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/mintTo.tsx                                    | TypeScript JSX     |         62 |          0 |          3 |         65 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/multipleMint.tsx                              | TypeScript JSX     |        122 |          0 |          4 |        126 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/transfer.tsx                                  | TypeScript JSX     |        144 |          2 |          3 |        149 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/services/updateCommunity.tsx                           | TypeScript JSX     |         38 |          0 |          3 |         41 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/type.ts                                                | TypeScript         |      1,000 |          6 |          1 |      1,007 |
| /Users/hieu/Work/crea8r/phanuel/app/web/src/vite-env.d.ts                                          | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/hieu/Work/crea8r/phanuel/app/web/tailwind.config.js                                         | JavaScript         |          7 |          1 |          1 |          9 |
| /Users/hieu/Work/crea8r/phanuel/app/web/tsconfig.json                                              | JSON with Comments |         21 |          0 |          1 |         22 |
| /Users/hieu/Work/crea8r/phanuel/app/web/tsconfig.node.json                                         | JSON               |          9 |          0 |          1 |         10 |
| /Users/hieu/Work/crea8r/phanuel/app/web/vite.config.ts                                             | TypeScript         |          9 |          1 |          2 |         12 |
| /Users/hieu/Work/crea8r/phanuel/migrations/deploy.ts                                               | TypeScript         |          4 |          5 |          4 |         13 |
| /Users/hieu/Work/crea8r/phanuel/package-lock.json                                                  | JSON               |      2,057 |          0 |          1 |      2,058 |
| /Users/hieu/Work/crea8r/phanuel/package.json                                                       | JSON               |         21 |          0 |          1 |         22 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/Cargo.toml                                        | TOML               |         17 |          0 |          4 |         21 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/Xargo.toml                                        | TOML               |          2 |          0 |          1 |          3 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/community_admin.rs                            | Rust               |          0 |          0 |          1 |          1 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/constant.rs                                   | Rust               |          6 |          2 |          0 |          8 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/errors.rs                                     | Rust               |         26 |          0 |          1 |         27 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/community_admin/crud.rs          | Rust               |         45 |          0 |          5 |         50 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/community_admin/manage_member.rs | Rust               |        108 |         10 |          8 |        126 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/community_admin/mint.rs          | Rust               |         89 |         10 |          9 |        108 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/community_admin/mod.rs           | Rust               |          8 |          0 |          1 |          9 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/community_admin/telegram.rs      | Rust               |         42 |          0 |          4 |         46 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/member.rs                        | Rust               |         84 |          6 |          7 |         97 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/mod.rs                           | Rust               |          6 |          0 |          1 |          7 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/instructions/super_admin.rs                   | Rust               |         36 |          3 |          4 |         43 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/lib.rs                                        | Rust               |         54 |          5 |          6 |         65 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/state.rs                                      | Rust               |         75 |          4 |         13 |         92 |
| /Users/hieu/Work/crea8r/phanuel/programs/phanuel/src/writer.rs                                     | Rust               |         61 |          4 |          9 |         74 |
| /Users/hieu/Work/crea8r/phanuel/tests/phanuel.ts                                                   | TypeScript         |        438 |        151 |         14 |        603 |
| /Users/hieu/Work/crea8r/phanuel/tests/v0Helper.ts                                                  | TypeScript         |        111 |         14 |         17 |        142 |
| /Users/hieu/Work/crea8r/phanuel/tsconfig.json                                                      | JSON with Comments |         10 |          0 |          1 |         11 |
| Total                                                                                              |                    |     27,383 |        482 |        776 |     28,641 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
